year,state,county,loan_average_app,income_average_app,count_app,value_app,fips,income_multiple,loan_avg_app_delta,income_average_app_delta,count_app_delta,value_app_delta,income_mult_delta
2000,16,075,75.9,46.62,988,74987,16075,2.03507078507,,,,,
2001,16,075,87.29,53.56,1325,115657,16075,2.0372012696,15.0065876153,14.8863148863,34.1093117409,0.54236067585,0.104688473198
2002,16,075,94.71,56.59,1460,138270,16075,2.09202155858,8.50040096231,5.6572068708,10.1886792453,0.195517781025,2.69096086837
2003,16,075,92.21,56.72,2179,200915,16075,2.03213152327,-2.63963678598,0.229722565824,49.2465753425,0.453062848051,-2.86278289349
2004,16,075,95.62,60.04,1799,172017,16075,1.99075616256,3.6980804685,5.8533145275,-17.43919229,-0.143831968743,-2.03605722563
2005,16,075,100.2,59.59,2073,207724,16075,2.10186272865,4.78979293035,-0.749500333111,15.2306837132,0.207578320747,5.58112380497
2006,16,075,113.27,67.3,2072,234688,16075,2.10382615156,13.0439121756,12.9384124853,-0.0482392667632,0.129806859102,0.0934134702363
2007,16,075,136.56,71.94,1796,245256,16075,2.37281067556,20.5614902445,6.89450222883,-13.3204633205,0.045029997273,12.7854919858
2008,16,075,150.51,69.21,4096,616508,16075,2.71835717382,10.2152899824,-3.79482902419,128.062360802,1.51373258962,14.5627504889
2009,16,075,151.66,73.83,832,126184,16075,2.56772314777,0.764068832636,6.67533593411,-79.6875,-0.795324634879,-5.54136253682
2010,16,075,137.94,72.24,557,76832,16075,2.38683554817,-9.04655149677,-2.15359609915,-33.0528846154,-0.391111392887,-7.04466911692
2011,16,075,130.48,70.09,466,60803,16075,2.3270081324,-5.40814847035,-2.97619047619,-16.3375224417,-0.208624010829,-2.50655793263
2012,16,075,2.91,78.41,690,2010,16075,0.0463907664839,-97.7697731453,11.8704522756,48.0686695279,-0.966942420604,-98.0064200963
2013,16,075,128.52,79.1,658,84569,16075,2.03097345133,4316.49484536,0.87998979722,-4.63768115942,41.0741293532,4277.9691634
2014,16,075,133.51,77.93,468,62485,16075,2.14150519697,3.88266417678,-1.4791403287,-28.8753799392,-0.261135877213,5.44230381603
