asian_count_app,asian_count_orig,asian_income_average_app,asian_income_average_orig,asian_loan_average_app,asian_loan_average_orig,asian_value_app,asian_value_orig,black_count_app,black_count_orig,black_income_average_app,black_income_average_orig,black_loan_average_app,black_loan_average_orig,black_value_app,black_value_orig,count_app,count_app_delta,count_orig,county,fips,hawaiian_count_app,hawaiian_count_orig,hawaiian_income_average_app,hawaiian_income_average_orig,hawaiian_loan_average_app,hawaiian_loan_average_orig,hawaiian_value_app,hawaiian_value_orig,income_average_app,income_average_app_delta,income_average_orig,income_mult_delta,income_multiple,loan_average_app,loan_average_orig,loan_avg_app_delta,native_count_app,native_count_orig,native_income_average_app,native_income_average_orig,native_loan_average_app,native_loan_average_orig,native_value_app,native_value_orig,state,value_app,value_app_delta,value_orig,white_count_app,white_count_orig,white_income_average_app,white_income_average_orig,white_loan_average_app,white_loan_average_orig,white_value_app,white_value_orig,year
3.0,,28.0,,20.33,,61.0,,,,,,,,,,1093.0,,510.0,047,27047,27.0,15.0,61.33,87.73,42.85,45.6,1157.0,684.0,48.44,,54.71,,1.4357968620974402,55.64,62.67,,1.0,1.0,29.0,29.0,67.0,67.0,67.0,67.0,27,60816.0,,31960.0,647.0,401.0,50.32,54.13,61.93,64.97,40069.0,26052.0,2000.0
1.0,1.0,28.0,28.0,38.0,38.0,38.0,38.0,1.0,,48.0,,13.0,,13.0,,1670.0,52.79048490393412,908.0,047,27047,25.0,12.0,41.64,54.58,47.64,53.42,1191.0,641.0,51.98,7.30800990916598,55.18,9.720641323917922,1.575365525202001,65.51,70.1,17.739036664270323,3.0,2.0,30.0,28.0,47.0,57.5,141.0,115.0,27,109408.0,0.7990002630886608,63648.0,1017.0,761.0,54.52,57.04,70.01,71.4,71198.0,54335.0,2001.0
5.0,3.0,63.8,85.67,79.0,99.0,395.0,297.0,2.0,,50.5,,58.0,,116.0,,1526.0,-8.62275449101796,785.0,047,27047,31.0,13.0,41.9,47.77,51.74,55.62,1604.0,723.0,54.81,5.4444016929588335,56.6,13.337901368157334,1.7854862251413974,78.29,84.1,19.508471989009312,3.0,1.0,71.0,144.0,92.0,149.0,276.0,149.0,27,119469.0,0.09195854050892072,66017.0,920.0,634.0,58.56,57.7,85.1,85.08,78291.0,53941.0,2002.0
6.0,4.0,60.33,53.0,82.33,66.75,494.0,267.0,10.0,4.0,39.4,36.75,95.4,76.5,954.0,306.0,2105.0,37.94233289646134,1142.0,047,27047,50.0,19.0,40.86,47.84,60.58,60.89,3029.0,1157.0,56.91,3.8314176245210607,59.55,5.277898097667921,1.879722368652258,85.58,88.24,9.311534040107272,2.0,2.0,63.5,63.5,73.5,73.5,147.0,147.0,27,180150.0,0.5079225573161239,100766.0,1678.0,1013.0,56.78,59.13,87.54,89.3,146892.0,90463.0,2003.0
17.0,4.0,52.24,82.0,84.76,85.75,1441.0,343.0,11.0,3.0,190.0,131.67,128.82,127.33,1417.0,382.0,1629.0,-22.61282660332542,764.0,047,27047,2.0,1.0,46.5,74.0,30.0,12.0,60.0,12.0,60.58,6.4487787735020285,56.68,3.8761571074533707,1.9525833608451635,94.63,94.65,10.574900677728438,10.0,1.0,71.2,60.0,91.8,69.0,918.0,69.0,27,154160.0,-0.14426866500138769,72311.0,1322.0,692.0,58.87,55.04,93.94,94.87,124193.0,65652.0,2004.0
12.0,2.0,50.17,74.0,68.58,71.0,823.0,142.0,9.0,2.0,59.56,70.5,101.11,68.5,910.0,137.0,1773.0,8.83977900552486,764.0,047,27047,2.0,1.0,45.5,43.0,59.0,55.0,118.0,55.0,56.81,-6.223175965665229,59.9,2.680825307575141,2.0049287097342017,91.12,88.86,-3.709183134312577,5.0,1.0,38.2,54.0,96.2,90.0,481.0,90.0,27,161558.0,0.04798910223144781,67889.0,1451.0,683.0,57.59,60.41,91.19,88.9,132311.0,60719.0,2005.0
13.0,8.0,48.69,49.0,81.23,97.63,1056.0,781.0,9.0,4.0,51.89,61.5,59.44,71.5,535.0,286.0,1644.0,-7.275803722504226,667.0,047,27047,3.0,,24.0,,116.0,,348.0,,60.16,5.896849146277061,62.96,-0.21059403487101447,2.000706449468085,96.29,93.24,5.673836698858659,2.0,,46.0,,102.0,,204.0,,27,158306.0,-0.020128993921687544,62191.0,1285.0,590.0,61.04,63.97,97.62,93.73,125445.0,55300.0,2006.0
3.0,1.0,50.33,44.0,33.67,21.0,101.0,21.0,3.0,,27.33,,82.0,,246.0,,1157.0,-29.622871046228717,483.0,047,27047,4.0,1.0,30.75,23.0,61.75,60.0,247.0,60.0,59.2,-1.5957446808510523,62.67,5.15711266360348,2.103885135135135,99.64,96.53,3.4790736317374504,4.0,2.0,37.5,33.0,66.5,75.5,266.0,151.0,27,115282.0,-0.2717774436850151,46626.0,960.0,443.0,59.96,62.84,100.34,97.41,96330.0,43154.0,2007.0
8.0,,25.5,,39.0,,312.0,,,,,,,,,,2496.0,115.73033707865167,1052.0,047,27047,,,,,,,,,64.13,8.327702702702688,67.08,2.512816606022139,2.156751910182442,110.65,107.31,11.049779205138499,12.0,4.0,25.67,25.0,62.67,84.0,752.0,336.0,27,276184.0,1.395725265002342,112888.0,2196.0,940.0,64.39,66.78,109.93,108.66,241412.0,102144.0,2008.0
4.0,3.0,39.25,34.67,100.25,87.0,401.0,261.0,,,,,,,,,733.0,-70.63301282051282,411.0,047,27047,1.0,,45.0,,102.0,,102.0,,76.33,19.023857788866373,85.22,17.236232973942588,2.528494694091445,154.4,181.43,39.53908721192951,,,,,,,,,27,113177.0,-0.5902115980650581,74567.0,664.0,396.0,77.96,85.55,159.67,183.4,106022.0,72627.0,2009.0
